Language|Alert_definition|PT|Title|Content|Id|PublishedDate|LinkURI
en|flood|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|SEOUL, South Korea (AP) — North Korea will not seek outside help to recover from <b>floods</b> that devastated areas near the country&#39;s border with China&nbsp;...|tag:google.com,2013:googlealerts/feed:18380925712157808621|2024-08-10T07:31:37Z|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html
en|flood|all|Storm Debby Set to Dump More Rain Across Eastern US This Weekend - BNN Bloomberg|<b>Flood</b> warnings and watches stretch from Georgia to New Hampshire and heavy rain warnings are up in Ontario, Quebec and New Brunswick as post&nbsp;...|tag:google.com,2013:googlealerts/feed:8228755415348144017|2024-08-10T07:30:25Z|https://www.bnnbloomberg.ca/investing/2024/08/09/storm-debby-set-to-dump-more-rain-across-eastern-us-this-weekend/
en|flood|all|Debby finally moves out of the US, though risk from <b>flooded</b> rivers remains - The Hamilton Spectator|Debby finally moved out of the U.S. on Saturday after the storm spent the better part of week unleashing tornadoes and <b>flooding</b>, damaging homes&nbsp;...|tag:google.com,2013:googlealerts/feed:11917240778300854351|2024-08-10T07:23:12Z|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html
en|flood|all|Where will potential flash <b>flooding</b> hit? - CTV News Northern Ontario|CTV&#39;s Kelsey McEwen says there will be a moderate to high risk of flash <b>flooding</b> in eastern Ontario and southern Quebec.|tag:google.com,2013:googlealerts/feed:1332212645957227607|2024-08-10T06:54:18Z|https://northernontario.ctvnews.ca/video/c2974604-where-will-potential-flash-flooding-hit-
en|flood|all|"Live updates: Heavy rain causes <b>flooding</b> across Montreal | CTV News"|The heavy rain is causing <b>flooding</b> and temporary road closures across the Greater Montreal area on Friday. According to Québec 511, numerous highways&nbsp;...|tag:google.com,2013:googlealerts/feed:15734540706895333450|2024-08-10T05:23:43Z|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706
en|flood|all|North Korean leader says thousands of <b>flood</b> victims will be brought to capital for temporary care|Kim said it would take about two to three months to rebuild homes and stabilize the areas affected by <b>floods</b>. Until then, his government plans to&nbsp;...|tag:google.com,2013:googlealerts/feed:5784913481292790762|2024-08-10T04:18:56Z|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|The worst of the flash <b>flooding</b> so far in New York was occurring in villages and hamlets in a largely rural area south of the Finger Lakes, not far&nbsp;...|tag:google.com,2013:googlealerts/feed:1364673407171383149|2024-08-10T04:18:06Z|https://www.timescolonist.com/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
en|flood|all|Post-tropical storm Debby hits Atlantic Canada with heavy rain, <b>flooding</b> - Global News|Residents of Montreal were hammered by heavy rain and <b>flooding</b> as post-tropical storm Debby arrived in Canada. The city received more rain in one&nbsp;...|tag:google.com,2013:googlealerts/feed:13600223404742241366|2024-08-10T03:08:09Z|https://globalnews.ca/video/10691905/post-tropical-storm-debby-heads-to-atlantic-canada-with-heavy-rain-flooding
en|flood|all|Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes|Watch Tropical Storm Debby: Wide swaths of the U.S. still under threat from <b>flooding</b>, tornadoes Video Online, on GlobalNews.ca.|tag:google.com,2013:googlealerts/feed:13536841122673099002|2024-08-10T00:01:59Z|https://globalnews.ca/video/10690728/tropical-storm-debby-wide-swaths-of-the-u-s-still-recovering-from-flooding-tornadoes/
en|flood|all|<b>Flooding</b> from the remnants of Debby leads to high water rescues in New York, Pennsylvania|First responders launched high-water and helicopter rescues of people trapped in cars and homes in rural New York and Pennsylvania as heavy rain&nbsp;...|tag:google.com,2013:googlealerts/feed:2231973727651451382|2024-08-09T23:40:23Z|https://www.cochraneeagle.ca/weather-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329456
