language|Alert_definition|PT|Title|Content|Id|PublishedDate|LinkURI
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Merritt ER closures becoming &#39;tiring and frustrating&#39;|Goetz, who recently went to the Union of <b>British Columbia</b> Municipalities convention from Sept. ... Curbside pickup offered at anytime for <b>flood</b> debris&nbsp;...|tag:google.com,2013:googlealerts/feed:2166382293956360109|2023-10-05T05:56:20Z|https://www.merrittherald.com/merritt-er-closures-becoming-tiring-and-frustrating/
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Number of the world&#39;s cities and towns in riskiest <b>flood</b> zones up 122 per cent: report - CTV News|"LIVE | Fallen <b>B.C.</b> RCMP Const. Rick O&#39;Brien being honoured at regimental funeral Wednesday."|tag:google.com,2013:googlealerts/feed:16512252460131489516|2023-10-04T20:29:40Z|https://www.ctvnews.ca/climate-and-environment/number-of-the-world-s-cities-and-towns-in-riskiest-flood-zones-up-122-per-cent-report-1.6588941
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Insurance Rates Feel the Heat: <b>British Columbia</b> summer wildfires result in $720 million in ...|“This year&#39;s wildfire season has broken all records in terms of the amount of land burned and damage caused to homes and businesses in <b>BC</b>,” said Aaron&nbsp;...|tag:google.com,2013:googlealerts/feed:6742555098951931169|2023-10-04T17:58:03Z|https://www.collisionrepairmag.com/insurance-rates-feel-the-heat-british-columbia-summer-wildfires-result-in-720-million-in-insured-damages/
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Study finds more people are moving into high <b>flood</b> zones, increasing risk of water disasters|Study finds more people are moving into high <b>flood</b> zones, increasing risk of water disasters. Seth Borenstein. FILE - <b>Floodwaters</b> surround a village&nbsp;...|tag:google.com,2013:googlealerts/feed:14152089741934913891|2023-10-04T15:19:45Z|https://infotel.ca/newsitem/climate-flood-and-development/cp1642608642
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|<b>B.C.</b> disaster response outdated and inaccessible for evacuees: ombudsperson|Emergency support programs for disaster evacuees in <b>British Columbia</b> are outdated, under-resourced, inaccessible and poorly communicated.|tag:google.com,2013:googlealerts/feed:2935437461001489863|2023-10-04T14:52:14Z|https://www.canadianunderwriter.ca/catastrophes/b-c-disaster-response-outdated-and-inaccessible-for-evacuees-ombudsperson-1004238742/
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|<b>BC</b> summer wildfires is costliest insured event in province&#39;s history|Catastrophe &amp; <b>Flood</b>. By Mika Pangilinan. Oct 04, 2023 Share. The summer wildfires that ravaged the Shuswap and Okanagan regions of <b>British Columbia</b>&nbsp;...|tag:google.com,2013:googlealerts/feed:12277833931877518716|2023-10-04T10:24:00Z|https://www.insurancebusinessmag.com/ca/news/catastrophe/bc-summer-wildfires-is-costliest-insured-event-in-provinces-history-461855.aspx
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Province tackles climate change by reducing single-use plastics in tree planting|<b>Flood</b> Warnings &middot; Spongy Moth &middot; Natural Resource Online Services. Communities ... <b>British Columbia</b> and Freya Logging, facilitated by <b>BC</b> Timber Sales.|tag:google.com,2013:googlealerts/feed:13175011720611629007|2023-10-04T09:54:51Z|https://news.gov.bc.ca/releases/2023FOR0061-001531
en|"flood | ""ice jam"" + ""British Columbia"""|British Columbia|Canada&#39;s freshwater: a call for proactive climate-ready infrastructure investment|... <b>flood</b>, drought, or wildfire. In <b>British Columbia</b>, the province I call home, the rivers and lakes are the cornerstones of local economies, forests&nbsp;...|tag:google.com,2013:googlealerts/feed:12390614344421735816|2023-10-04T05:04:03Z|https://www.hilltimes.com/story/2023/10/04/canadas-freshwater-a-call-for-proactive-climate-ready-infrastructure-investment/398741/
en|" flood | ""ice jam"" + ""Prince Edward Island"""|Prince Edward Island|"Fire causes evacuation of Home Hardware in Charlottetown | CBC News"|<b>PEI</b>. Fire causes evacuation of Home Hardware in Charlottetown. Employees and customers at the Home Hardware in Charlottetown were evacuated Tuesday&nbsp;...|tag:google.com,2013:googlealerts/feed:1858245806510925087|2023-10-04T16:55:05Z|https://www.cbc.ca/news/canada/prince-edward-island/pei-home-hardware-fire-1.6985836
en|" flood | ""ice jam"" + Alberta"|Alberta|<b>Alberta</b> Primetime for Wednesday, October 4, 2023 - CTV News Edmonton|Number of the world&#39;s cities and towns in riskiest <b>flood</b> zones up 122 per cent: report &middot; Dry grasslands have been serving as an unexpected carbon&nbsp;...|tag:google.com,2013:googlealerts/feed:15068538917903088610|2023-10-05T01:01:53Z|https://edmonton.ctvnews.ca/video%3FclipId%3D2774150
en|" flood | ""ice jam"" + Alberta"|Alberta|Study finds more people are moving into high <b>flood</b> zones, increasing risk of water disasters|<b>Alberta</b> &middot; Quebec ... Most countries, especially in East Asia, saw more settlements in regular <b>flood</b> zones and ultra high <b>flood</b> zones than in dry areas.|tag:google.com,2013:googlealerts/feed:10111482988770857082|2023-10-04T15:53:19Z|https://www.thestar.com/news/world/study-finds-more-people-are-moving-into-high-flood-zones-increasing-risk-of-water-disasters/article_2dc3f970-a122-5e07-b7f8-34f0bf1c10c6.html
en|" flood | ""ice jam"" + Alberta"|Alberta|BC summer wildfires is costliest insured event in province&#39;s history|Catastrophe &amp; <b>Flood</b>. By Mika Pangilinan. Oct 04, 2023 Share. The summer wildfires that ravaged the Shuswap and Okanagan regions of British Columbia&nbsp;...|tag:google.com,2013:googlealerts/feed:10674478012433802223|2023-10-04T13:07:51Z|https://www.insurancebusinessmag.com/ca/news/catastrophe/bc-summer-wildfires-is-costliest-insured-event-in-provinces-history-461855.aspx
