PublishedDate,Language,Alert_definition,PT,Title,Content,Id,URL,Summary,New_Content,Is_Article
2023-10-05T07:50:39Z,en,flood,all,Flash <b>floods</b> kill at least 14 in northeastern India and leave more than 100 missing,NEW DELHI (AP) — Rescue workers were searching for more than 100 people on Thursday after flash <b>floods</b> triggered by a sudden heavy rainfall&nbsp;...,"tag:google.com,2013:googlealerts/feed:7377215587900989542",https://nationalpost.com/pmn/news-pmn/flash-floods-kill-at-least-14-in-northeastern-india-and-leave-more-than-100-missing,"Forbidden 403CSRF verification failed. You are seeing this message because this HTTPS site requires a Referer header to be sent by your Web browser, but none was sent. This header is required for security reasons, to ensure that your browser is not being hijacked by third parties. If you have configured your browser to disable Referer headers, please reenable them, at least for this site, or for HTTPS connections, or for sameorigin requests. The CSRF protection requires the Referer header to do strict referer checking.","Forbidden 403 CSRF verification failed. Request aborted. You are seeing this message because this HTTPS site requires a Referer header to be sent by your Web browser, but none was sent. This header is required for security reasons, to ensure that your browser is not being hijacked by third parties. If you have configured your browser to disable Referer headers, please reenable them, at least for this site, or for HTTPS connections, or for sameorigin requests. If you are using the tag or including the ReferrerPolicy noreferrer header, please remove them. The CSRF protection requires the Referer header to do strict referer checking. If youre concerned about privacy, use alternatives like for links to thirdparty sites.",0
2023-10-05T07:44:07Z,en,flood,all,"8 dead, 22 armymen among 69 missing as flash <b>flood</b> wreaks havoc in Sikkim; Modi dials CM","Besides the 22 army personnel, 47 civilians were also missing, while 166 people have so far been rescued, including an armyman. Sikkim flash <b>floods</b>:&nbsp;...","tag:google.com,2013:googlealerts/feed:1218474220935360231",https://m.timesofindia.com/city/kolkata/8-dead-22-armymen-among-69-missing-as-flash-flood-wreaks-havoc-in-sikkim-modi-dials-cm/articleshow/104166559.cms,"Spoke to Sikkim CM Shri PSTamangGolay and took stock of the situation in the wake of the unfortunate natural calamity in parts of the state. Luckily, my friends and I were on high ground and not affected by the flash flood. We were travelling to Gangtok from Siliguri when our car was forced to halt in the Swetjhora area. I want to assure you that the government is fully committed to providing all necessary assistance and relief to those in need. We understand the magnitude of the situation and are mobilizing all available resources to ensure the safety and wellbeing of our citizens.","Sikkim flash floods 23 army men missing after cloud burst in Lachen Valley NEW DELHIGANGTOK At least eight people died and 69 others, including 22 army personnel, went missing on Wednesday after a cloudburst over Lhonak Lake in north Sikkim triggered a flash flood in the Teesta River basin , officials said.Three of the dead were washed up in north Bengal, they said.The flood in Sikkim that started around 1.30 am was made worse by the release of water from Chungthang dam, the officials said.Five bodies have been recovered from Golitar and Singtam region, PTI quoted Gangtok subdivisional magistrate SDM Mahendra Chettri as saying.Another official said besides the 22 army personnel, 47 civilians were also missing, while 166 people have so far been rescued, including an armyman.The health condition of the rescued soldier is stable, defence spokesperson Lt Col Mahendra Rawat said.Bodies, including that of a child, were seen fished out from the flood plains of the Teesta river at Golitar in Singtam by rescue personnel, the officials said.Prime Minister Narendra Modi spoke to chief minister Prem Singh Tamang on Wednesday to take stock of the situation in the state, and assured him of all possible support.Spoke to Sikkim CM Shri PSTamangGolay and took stock of the situation in the wake of the unfortunate natural calamity in parts of the state. Assured all possible support in addressing the challenge. I pray for the safety and wellbeing of all those affected, Modi said on X.Defence minister Rajnath Singh also prayed for the wellbeing of the missing army personnel.The Sikkim government, in a notification, said the natural calamity has been declared as a disaster.The release of water from the Chungthang dam led to a sudden increase in water levels up to 1520 feet high downstream, the defence spokesperson said.Twentytwo army personnel have been reported missing and 41 vehicles submerged under the slush, he said.Rawat said the identity of the missing personnel is yet to be ascertained due to a breakdown in communication.A steel bridge at Singtam, known as Indreni bridge, 30 km from the state capital Gangtok has been completely washed away by Teesta river water early Wednesday, an official said.According to the Central Water Commission CWC, the water level in the Teesta river was below the danger mark at 1 pm on Wednesday and there is no flood situation around it.The water level at three stations Melli, Singtam and Rohtak on the Teesta is below the danger mark but hovering near it, it added.Rajeev Bhattacharya, 25, a tourist from Kolkata who was on a trek from Gangtok towards Singtem, told PTI over phone We saw a huge wave of water rushing at great speed through the valley and mangled remains of structures being swept away. Luckily, my friends and I were on high ground and not affected by the flash flood. We are now making our way back to Gangtok.Several towns, including Dikchu, Singtam and Rangpo located in the Teesta basin, have also been flooded with the upsurge in the river.Meanwhile, all schools located in Mangan, Gangtok, Pakyong and Namchi districts will remain closed till October 8, the education department said in a circular.Parts of National Highway10, the main link between Sikkim and the rest of the country, were washed away, the officials said, adding, a flood alert has been issued for North Bengal and Bangladesh through which the Teesta flows.We were travelling to Gangtok from Siliguri when our car was forced to halt in the Swetjhora area. The NH10 had caved in as incessant rains had eroded the rock and soil below the road. Fortunately, all cars were moving slowly because of the rains, otherwise, the cavein could have actually swallowed a vehicle, Dolma Bhutia, a college student going back home to Sikkim, told PTI telephonically.Police officers in neighbouring West Bengal said two youths from Raiganj district Swarnadwip Majumder 23 and Srikant Majumder 27 and another, Ishan, from Jharkhand went missing in Sikkim on Wednesday.The trio had left for the small Himalayan state on Saturday on a motorcycle holiday.Since Tuesday morning, they could not be traced as their mobile numbers remained unreachable. We have contacted Sikkim Police for help, a police officer from Raiganj said.The officials said two other bridges, Baluatar and another near the Lanco Hydel power project, have collapsed due to the spate in Teesta since Tuesday night.The administration has set up a number of relief camps, where hundreds are taking shelter, they said.The Sikkim State Disaster Management Authority stated that a cloudburst in portions of Lhonak Lake, which caused the rise of water levels with very high velocities downstream along the Teesta River basin in the early hours of Wednesday damaged many establishments in Mangan, Gangtok, Pakyong, and Namchi.Chief minister PS Tamang visited Singtam and took stock of the situation.He also held a meeting with senior officials at the Singtam Nagar Panchayat office and asked them to keep vigil.In a post on social media, Tamang said his thoughts and prayers are with all during this difficult hour.In these challenging times, I want to extend my heartfelt support to all the victims and their families affected by this unfortunate event, he said.I want to assure you that the government is fully committed to providing all necessary assistance and relief to those in need. We understand the magnitude of the situation and are mobilizing all available resources to ensure the safety and wellbeing of our citizens. Our dedicated teams are working day and night to address the immediate concerns and challenges posed by this calamity, Tamang said.In West Bengal, torrential rain in the last few days, besides increase in the water level in the Teesta river, affected several places in Kalimpong, Darjeeling, Alipurduar and Jalpaiguri districts, where the administration has started evacuating affected people to safer locations, state government officials said. PTI CORRSSGAMRKDKACDSCH BDC RBT RBTWith PTI inputs",1
2023-10-05T06:57:51Z,en,flood,all,"Tokyo Will Get a New Immersive Shopping, Dining Spot as Tourists <b>Flood</b> to Japan","(Bloomberg) -- A new immersive dining, shopping and entertainment attraction will open in Tokyo next spring, as more tourists <b>flood</b> into Japan and&nbsp;...","tag:google.com,2013:googlealerts/feed:11568202952123180859",https://www.bnnbloomberg.ca/tokyo-will-get-a-new-immersive-shopping-dining-spot-as-tourists-flood-to-japan-1.1980535,"Tokyo Will Get a New Immersive Shopping, Dining Spot as Tourists Flood to JapanBloomberg A new immersive dining, shopping and entertainment attraction will open in Tokyo next spring, as more tourists flood into Japan and consumers stage a postpandemic retail recovery. Hes seeking to tap into a wider global trend toward immersive entertainment, an industry worth an estimated 61.8 billion in 2019. This will be the worlds first permanent immersive entertainment facility, Morioka said on Thursday at a news conference to announce the event. Morioka said that he wanted to bring content known within and outside Japan to Immersive Fort Tokyo. Having a place like this in Tokyo make sense and hopefully it will push more travelers to come and enjoy Japan, Morioka said.","Tokyo Will Get a New Immersive Shopping, Dining Spot as Tourists Flood to Japan Bloomberg A new immersive dining, shopping and entertainment attraction will open in Tokyo next spring, as more tourists flood into Japan and consumers stage a postpandemic retail recovery. Immersive Fort Tokyo will offer 12 attractions spread across 6 shops and restaurants, putting visitors in the middle of fictional situations such as a murder mystery, or a treasure hunt. The venue will be entirely indoors, making use of a shopping mall in the middle of Tokyo Bay that closed its doors last year. The new destination is the brainchild of Tsuyoshi Morioka, a former Procter Gamble Co. executive who made his name by turning around Universal Studios Japan by introducing new attractions, including the Wizarding World of Harry Potter. Hes seeking to tap into a wider global trend toward immersive entertainment, an industry worth an estimated 61.8 billion in 2019. This will be the worlds first permanent immersive entertainment facility, Morioka said on Thursday at a news conference to announce the event. You will be a part of the entertainment. The venue will take up two floors across 30,000 square meters. Pricing and details of specific attractions will be released at a later date. Katana Inc., the company established by Morioka in 2017, has worked to revamp other parks in Japan, such as Huis Ten Bosch near the southern city of Nagasaki and Seibuen Amusement park near Tokyo. Tokyo Disney Resorts two parks and Universal Studios Japan in Osaka were among the top five most visited amusement and theme parks worldwide in 2022, with each place attracting more than 10 million people annually, according to a report by researcher AECOM and the Themed Entertainment Association. Sales at amusement and theme parks in Japan almost doubled to 671 billion 4.5 billion during the fiscal year ended March from a year earlier, 93 of prepandemic levels seen four years ago, according to government data. Morioka said that he wanted to bring content known within and outside Japan to Immersive Fort Tokyo. Having a place like this in Tokyo make sense and hopefully it will push more travelers to come and enjoy Japan, Morioka said. I want to make Tokyo lead the world in this field, and take it to the world. Tokyo Disney Resort operator Oriental Land Co. says travelers from overseas made up about 10 of visitors in 2019 at the peak of Japans tourism boom, when the nation had more than 30 million foreign visitors. Read More All I Got From a Tourist Boom Was This Mario Kart Gearoid Reidy The number of foreign visitors to Japan in August surpassed 2 million people, 86 of the numbers seen in the same month in 2019, according to Japans National Tourism Organization. 2023 Bloomberg L.P.",1
2023-10-05T06:15:39Z,en,flood,all,New York&#39;s <b>floods</b> weren&#39;t a one-off — here&#39;s how the city is preparing for the future - CNBC,"New York flash <b>flooding</b> last week confirmed that climate change is outpacing infrastructure advancement, especially in the city.","tag:google.com,2013:googlealerts/feed:418994847420380038",https://www.cnbc.com/2023/10/04/new-york-city-flood-infrastructure-climate-chief.html,"Theres no question that the rain on Friday is part of a pattern that is directly linked to climate change, New York City Chief Climate Officer Rohit Aggarwala told CNBC in an interview. He grew up in New York when winters were snowy and summers were hot but bearable. He said todays New York reminds him more of Miami than the place he remembers from childhood. In 2020, the National Climate Assessment changed New York Citys climate classification from continental to humid subtropical characterized by mild winters, humid summers and intense rainfall. What that means is that theres nowhere for the rainwater falling on that property to go, he said.","As New York residents and business owners recover their drenched and damaged properties from Fridays flash floods, city and state officials are confronting the reality that extreme weather is no longer just a passing phenomenon. Theres no question that the rain on Friday is part of a pattern that is directly linked to climate change, New York City Chief Climate Officer Rohit Aggarwala told CNBC in an interview. He grew up in New York when winters were snowy and summers were hot but bearable. He said todays New York reminds him more of Miami than the place he remembers from childhood. In 2020, the National Climate Assessment changed New York Citys climate classification from continental to humid subtropical characterized by mild winters, humid summers and intense rainfall. The city has so far lived up to the new label. Winters have become noticeably warmer. And last weeks storm added to the list of recent record rainfall, bringing back memories of Hurricane Henri in August 2021 and Hurricane Ida in September 2021. What we once thought of as a rare event, a low probability of occurrence maybe these events are increasing in frequency, said Nelson Vaz, a meteorologist at the New York office of the National Weather Service. Aggarwala is leading the charge on the citys climate adaptation strategy. When it comes to rain, Aggarwala is concerned about the lack of permeable surfaces in the city due to people paving over lawns and grass in favor of, for example, new parking spots. What that means is that theres nowhere for the rainwater falling on that property to go, he said. Some ways hes looking to address it Turning basketball court enclosures into giant rain buckets, developing pockets of wetlands, installing socalled rain gardens on sidewalks, and building walls along the shorelines to keep out coastal storms.",0
2023-10-05T04:34:43Z,en,flood,all,Residents in rural Australia evacuate homes as <b>floods</b> follow fires - Nasdaq,"Residents of towns in the Australian state of Victoria were on Thursday warned it was still unsafe to return home, as flash <b>floods</b> followed&nbsp;...","tag:google.com,2013:googlealerts/feed:12564273273320122736",https://www.nasdaq.com/articles/residents-in-rural-australia-evacuate-homes-as-floods-follow-fires,,,0
2023-10-05T04:13:12Z,en,flood,all,Eight years since the historic <b>flood</b> of 2015 - Columbia - WLTX.com,Eight years since the historic <b>flood</b> of 2015 &middot; Download the Columbia News from WLTX News19 App.,"tag:google.com,2013:googlealerts/feed:7498082795694369926",https://www.wltx.com/video/weather/eight-years-since-the-historic-flood-of-2015/101-c4c01c01-bb52-4872-b968-80ad6e465076,,,0
2023-10-05T03:57:16Z,en,flood,all,"Emergency phone alerts have saved lives, and caused confusion - The Washington Post","In 2020, the agency switched to sending flash <b>flood</b> alerts only where the <b>flooding</b> was tagged as “considerable” or “catastrophic,” the two most&nbsp;...","tag:google.com,2013:googlealerts/feed:12559803822930797052",https://www.washingtonpost.com/weather/2023/10/04/wireless-emergency-alerts-weather-phones/,,,0
2023-10-05T03:43:17Z,en,flood,all,Sen. Bob Menendez&#39;s wife involved in 2018 deadly crash - NBC New York,Cleaning up from <b>flood</b> damage? Here&#39;s what homeowners should know &middot; Mayor ... New lawsuit after <b>flooding</b> forces people from Long Island co-op.,"tag:google.com,2013:googlealerts/feed:13374125740230845369",https://www.nbcnewyork.com/news/local/sen-bob-menendezs-wife-involved-in-2018-deadly-crash/4739988/,,,0
2023-10-05T03:34:45Z,en,flood,all,Sexually graphic lesson concerns HISD parents - KHOU,"<b>Flood</b> Watch issued for several Houston-area counties south of I-10 &middot; Sports &middot; VERIFY &middot; KHOU 11+ &middot; Search. Search: Search. Right Now. Houston, TX ». 80&nbsp;...","tag:google.com,2013:googlealerts/feed:13311720019539520672",https://www.khou.com/article/news/education/hisd-maya-angelou-lesson-concerns/285-cebd240a-accb-4a0e-8aef-006ea8b4f6bf,,,0
2023-10-05T03:20:20Z,en,flood,all,"8 years after 2015 <b>flood</b>, Columbia Canal project still underway - WLTX.com","The <b>flood</b> destroyed many homes and businesses and caused the Columbia Canal to breach. Now, businesses and the City of Columbia are looking back on&nbsp;...","tag:google.com,2013:googlealerts/feed:16420063448108442120",https://www.wltx.com/article/news/local/8-years-after-2015-flood-columbia-canal-project/101-5fed1d7c-3f0a-44f2-b233-95ff254f0376,,,0
2023-10-05T02:54:01Z,en,flood,all,Houses bought by Fort Worth due to <b>flooding</b> now up for sale,"The plan was to put a <b>flood</b> detention pond in the area. Due to concerns raised by residents about that concept, plans have now changed,&nbsp;...","tag:google.com,2013:googlealerts/feed:5565116200553602174",https://www.nbcdfw.com/news/local/houses-bought-by-fort-worth-due-to-flooding-now-up-for-sale/3353138/,"In Fort Worths Arlington Heights neighborhood, the city bought several houses on Carleton and Western avenues because of repeated flooding. Fort Worth Assistant Director of Storm Water Management Jennifer Dyke said the sale still includes flood mitigation. They can take the existing home and elevate them two feet above the flood elevation, or they can demo the existing home and build a new home two feet above flood elevation, Dyke said. Any new development also can not cause any increase in flooding to existing homes in the neighborhood. Who is going to pay that much money, and its going to be crappylooking houses, Hughes said.","In Fort Worths Arlington Heights neighborhood, the city bought several houses on Carleton and Western avenues because of repeated flooding. The plan was to put a flood detention pond in the area. Due to concerns raised by residents about that concept, plans have now changed, and the city has put the nine remaining houses up for sale. Fort Worth Assistant Director of Storm Water Management Jennifer Dyke said the sale still includes flood mitigation. They can take the existing home and elevate them two feet above the flood elevation, or they can demo the existing home and build a new home two feet above flood elevation, Dyke said. Get DFW local news, weather forecasts and entertainment stories to your inbox. Sign up for NBC DFW newsletters. Two houses bought with FEMA grants were torn down and must remain green spaces per grant guidelines. Any new development also can not cause any increase in flooding to existing homes in the neighborhood. I dont think its going to happen, longtime resident Madelyn Hughes said. Not in my lifetime. Hughes has lived on Western Avenue for 50 years. Shes concerned any new houses wont fit their historic community. Who is going to pay that much money, and its going to be crappylooking houses, Hughes said. Dyke said there are design stipulations. In addition to the elevation requirements, we also have requirements to make sure the homes that go in, whether they are elevating the existing or new homes, that they fit the current character of the neighborhood, Dyke said. But Hughes isnt sure things will stay the same. Who wants to pay that much and everybody tell them what they can and what they cant do with their million or two spent, Hughes said. Bidders must bid on all nine lots. They will not be sold individually. The city is accepting sealed bids until November 30. It will likely be January before any accepted bids are announced. If the notice of sale should fail, the city would plan to go back and do stormwater detention in the area.",1
2023-10-05T02:30:51Z,en,flood,all,Flash <b>floods</b> in northern India have killed 8 people and left 23 soldiers missing,"A sudden heavy rainfall has triggered flash <b>floods</b> in the northeastern Indian state of Sikkim, killing eight civilians and leaving 23 army&nbsp;...","tag:google.com,2013:googlealerts/feed:11121798997206379197",https://www.washingtonpost.com/world/2023/10/04/sikkim-india-flash-floods-army-soldiers-missing/3836c44c-6283-11ee-b406-3ea724995806_story.html,,,0
2023-10-05T02:29:27Z,en,flood,all,Raw video: Man robs Houston hotel at gunpoint | khou.com,"<b>Flood</b> Watch issued for several Houston-area counties south of I-10 &middot; Sports &middot; VERIFY &middot; KHOU 11+ &middot; Search. Search: Search. Right Now. Houston, TX ». 79&nbsp;...","tag:google.com,2013:googlealerts/feed:10083173331428903492",https://www.khou.com/video/news/crime/raw-video-man-robs-houston-hotel-at-gunpoing/285-94e5af2a-743d-4226-9b1f-79b485acbf4a,,,0
2023-10-05T02:26:36Z,en,flood,all,Why countries are choosing to build new cities in places at high risk of worsening <b>floods</b>,"As the world rapidly urbanizes, the amount of building in <b>flood</b>-prone areas is soaring, according to new research, sparking concerns about&nbsp;...","tag:google.com,2013:googlealerts/feed:6657357448172577761",https://www.accuweather.com/en/climate/why-countries-are-choosing-to-build-new-cities-in-places-at-high-risk-of-worsening-floods/1584698,,,0
