link,meta-llama3-70b_country,meta-llama3-8b_country,mistral-7b_country,mistral-large_country,mixtral-8x7b_country,openai-gpt35_country
https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html,North Korea,North Korea,North Korea,North Korea,North Korea,
https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html,USA,"United States, Canada",United States,"United States, Canada",,
https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706,Canada,Unknown,Canada,Canada,Canada,Canada
https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/,North Korea,South Korea,North Korea,North Korea,North Korea,North Korea
https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html,USA,United States,United States,United States,Unknown,
https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/,,,Canada,,,
https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473,USA,United States,United States,United States,USA,United States
https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872,USA,United States,United States,United States,United States,United States
https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/,Unknown,Unknown,Canada,Unknown,,Unknown
https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html,USA,United States,United States,United States,United States,
https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559,Canada,Canada,Canada,Canada,Canada,Canada
https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal,Canada,Canada,Canada,Canada,Canada,Canada
https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies,,Québec,,Inconnu,Inconnu,
https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/,Canada,Canada,Canada,Canada,Canada,Canada
https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent,Canada,Canada,Canada,Canada,,
https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/,Canada,Canada,,Canada,Canada,Canada
https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/,Canada,Canada,Canada,Canada,,
https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits,Canada,Canada,Canada,Inconnu,Inconnu,
https://www.ville.varennes.qc.ca/actualites/24/08/09/conditions-meteorologiques-inondation,,,Canada,,,
https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/,Canada,Canada,,Canada,Canada,Inconnu
https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec,Canada,Canada,Canada,Canada,,Canada
https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie,Canada,"""Québec""",Canada,Canada,Canada,Canada
https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir,Canada,Canada,Canada,Canada,,Canada
https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/,Canada,Canada,Pays: Canada,Canada,Canada,Canada
https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/,Canada,Canada,Canada,Canada,Inconnu,Canada
https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php,Canada,Canada,Canada,Canada,Canada,Canada
