is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rains|2024-07|Sinuiju city, North Phyongan province, North Korea|Unknown|Yes|North Korea|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Remnants of Tropical Storm Debby|Unknown (multiple dates)|northern New York, south-central New York, north-central Pennsylvania, Vermont|Yes|Yes|United States, Canada|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html|2024-08-10T07:23:12Z
Yes|Heavy rain|Unknown|Greater Montreal area|Unknown|Unknown|Unknown|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|Heavy rains|Unknown ( Late July )|Sinuiju, Uiju|Unknown|Yes|South Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
Yes|Heavy rain from the remnants of Debby|Unknown|New York, Pennsylvania|Yes|Yes|United States|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
No|NA|NA|NA|NA|NA|NA|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/|2024-08-09T22:45:08Z
Yes|Heavy rain from the remnants of Debby|Unknown|New York, Pennsylvania, Vermont, Maryland, South Carolina, Georgia|Yes|Yes|United States|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|Heavy rains, flash flooding, and the threat of tornadoes|2023-07-30|North Vermont, Maryland, South Carolina, Moncks Corner, Berkeley County, Cane Bay subdivision, Alamance County, Haw River, Lucama, Springfield Middle School, Fayetteville, Harnett County, Bladenboro, Diamond Daves Grill|Yes|Yes|United States|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|heavy rain|2024-07|Burlington|Unknown|Unknown|Unknown|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
Yes|Heavy rain and flooding|2024-08|New York, Pennsylvania, Vermont, Maryland, Delaware, North Carolina, South Carolina, Florida, Georgia, Virginia|Yes|Yes|United States|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
Yes|Remnants of tropical storm Debby|Unknown|NA|Unknown|Unknown|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|Les vestiges du louragan Debby|2024-08|Montréal, Lanaudière, Laurentides, Sainte-Julienne, Rivière-Rouge, Saint-Calixte, La Macaza|Inconnu|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
Non|NA|NA|NA|NA|NA|Québec|https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies|2024-08-10T04:17:27Z
Oui|Pluie torrentielle|Vendredi|Région de Québec, Lanaudière, Laurentides, Montérégie, Montréal|Non|Non|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Dénivellement combiné avec les vestiges de la tempête tropicale Debby|NA|Outaouais, notamment Gatineau et Hawkesbury|NA|NA|Canada|https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent|2024-08-10T03:56:09Z
