is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rains|2024-07|Sinuiju, Uiju|Cannot be determined from provided content|Yes|North Korea|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Tropical Storm Debby|2024-08|Ohio, New York, Pennsylvania, Vermont, New York (specifically the towns of Jasper, Woodhull and part of Addison)|Yes (at least nine deaths reported)|Yes|United States|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html|2024-08-10T07:23:12Z
Yes|Heavy rain|2023-03-31|Greater Montreal, Chomedey, Longueuil, des Laurentides, Félix-Leclerc, Côte-de-Liesse, Côte-de-Liesse Road, Henri-Bourassa, Gouin boulevards, downtown Montreal, A-19, Exit 4, Laval, Exit 62, de la Côte-Vertu Boulevard, R-132, René-Lévesque, Longueuil, Taschereau Boulevard West, R-134, Jacques-Cartier Bridge, R-520, A-520 West, de la Côte-de-Liesse Road, Tunnel de Liesse|Unknown|Unknown|Canada|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|Heavy rains|2024-08|Sinuiju, Uiju|Unknown|Yes|North Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
Yes|The remnants of Tropical Storm Debby caused the flood event.|2024-08|New York, Pennsylvania, Vermont, Maryland, South Carolina, Georgia|Yes|Yes|United States|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
NA|Unknown|NA|NA|NA|NA|Canada|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/|2024-08-09T22:45:08Z
Yes|Heavy rain from the remnants of Tropical Storm Debby|2022-07|Steuben County, Jasper, Woodhull, Addison, rural New York, Pennsylvania|Yes|Yes|United States|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|Remnants of Tropical Storm Debby brought heavy rains and flash flooding|2022-08|North Carolina, South Carolina, Maryland, Virginia, Washington D.C., Pennsylvania, New Jersey, New York, Vermont|At least 8 people have died|Yes|United States|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|Heavy rain|2024-07|Burlington|NA|NA|Canada|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
Yes|Heavy rain and flooding due to rivers overflowing their banks|2024-08|New York, Pennsylvania, Vermont, South Carolina, North Carolina, Georgia, Florida|At least nine people have died|Yes|United States|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
Yes|A low pressure system interacting with the remnants of tropical storm Debby brought heavy rainfall|2024-08|Cornwall, Ont., Quebec City, Gatineau, Que., Central Experimental Farm (Ottawa), Kanata Lakes, Mississauga Mills, East Hawkesbury, Alexandria, Kinburn, Summerstown|NA|NA|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|Pluie torrentielle|2024-08-09|"['Montréal (Dorval)', 'Montréal (centre-ville)', 'Sainte-Anne-de-Bellevue', ""L'Assomption"", 'Saint-Clotilde', ""L'Acadie"", 'St-Jovite', 'Gatineau', 'Granby', 'Sherbrooke', 'Beauceville', 'Trois-Rivières', 'Drummondville', 'Québec']"|NA|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
Non|Inconnu|Inconnu|Saint-Raymond, Québec|Inconnu|Inconnu||https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies|2024-08-10T04:17:27Z
Oui|Pluies torrentielles|AAA-MM-DD (Inconnu)|Québec, Lanaudière, Montérégie, Capitale-Nationale (Inconnu si complet)|Au moins huit personnes aux États-Unis|Oui|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Une dépression combinée avec les vestiges de la tempête tropicale Debby|AAA-MM-2024|['Gatineau, Hawkesbury, Outaouais, Saint-Jean-Sur-Richelieu']|Inconnu|Inconnu|Canada|https://www.fm1047.ca/nouvelles/640834/pluies-abondantes-a-gatineau-des-residents-s-inquietent|2024-08-10T03:56:09Z
Oui|Causes non spécifiées dans le texte|Inconnu|Les Hautes-Laurentides, Nominingue, Rivière-Rouge, La Macaza, Lascension, Notre-Dame-de-Pontmain, Québec|Pas de mention explicitée dans le texte|Oui||https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
Oui|Inconnu|2024-08-09|"[""Vaudreuil-Dorion"", ""Rue des Dahlias"", ""26e avenue"", Saint-Zotique""]"|Non|Non|Canada|https://www.viva-media.ca/la-voix-regionale-vaudreuil-soulanges/actualite-vs/communaute-vs/vaudreuil-soulanges-touchee-par-les-inondations-pluviales/|2024-08-10T02:51:52Z
Oui|Precipitations|2024-08-09|Chemin de la Montagne (Hull-Aylmer, Notre-Dame-De-Pontmain), chemin Caron, chemin Chambord, boulevard St-René (près du boulevard Labrosse)|NA|NA|Canada|https://www.fm1047.ca/nouvelles/640863/les-ruisseaux-debordent-a-certains-endroits|2024-08-10T02:20:55Z
Non|NA|NA|Varennes|NA|NA|Canada|https://www.ville.varennes.qc.ca/actualites/24/08/09/conditions-meteorologiques-inondation|2024-08-10T01:21:59Z
Oui|Pluies abondantes|2024-09-13|Villes de la Rive-Sud, notamment Beauharnois, Coteau-du-Lac et Les Coteaux, Sainte-Catherine, Saint-Constant, Candiac et Delson, Rue Villeneuve et secteur M de Saint-Constant, Route des cluses et Brébeuf, Rue Brodeur et croissant Sainte-Catherine, boul. Saint-Laurent, Longueuil, Brossard|Oui|Non||https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/|2024-08-10T00:28:24Z
Oui|Pluie intensoive|NA|['Montréal', 'Lac-Beauport', 'Stoneham-et-Tewksbury', 'Charlevoix (Baie-Saint-Paul, La Malbaie, Saint-Urbain)']|NA|NA|Canada|https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec|2024-08-09T23:41:07Z
Oui|La pluie abondante causée par la tempête Debby|AAAA-MM-DD-2024-08-09|"[""La municipalité de Nominingue"", ""Rivière-Rouge""]"|Pas de renseignements disponibles|Oui|Canada|https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie|2024-08-09T23:27:15Z
Yes|Non (L'inondation n'est pas mentionnée comme cause des pannes)|NA|Québec (La tempête a touché plusieurs régions du Québec)|NA|NA|Canada|https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir|2024-08-09T23:25:16Z
Oui|Cause: Pluie intensive, plus de 100 mm en 24 heures|AAA-MM: 2023-07-14|Lieux touchés: Trois-Rivières, parc national de la Mauricie, La Tuque, Bécancour|Inconnu|Inconnu|Pays: Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/|2024-08-09T22:29:51Z
Oui|Pluie et débordements de cours d'eau|2024-08-09|Ville de Trois-Rivières, Shawinigan, MRC de Bécancour et Nicolet-Yamaska, Mauricie et Centre-du-Québec|Non documenté|Oui, certaines rues et tunnels ont été fermés à la circulation|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/|2024-08-09T22:04:21Z
Oui|Les restes de la tempête Debby|AAA-MM-Vendredi|Sud du Québec, Montréal, Laurentides, Montérégie, Sainte-Anne-de-Bellevue, LAssomption, Laurentides (route 321 à Nominingue)|Oui|Non renseigné|Canada|https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php|2024-08-09T21:29:10Z
