is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rains|2024-07|Sinuiju, Uiju|Unknown|Yes|North Korea|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Tropical Storm Debby|2024-08|Florida, Ohio, New York, Pennsylvania, Vermont, South Carolina, New England, southern Quebec, Steuben County, Tioga County, Harrisburg|Yes|Yes|United States, Canada|https://www.thespec.com/life/debby-finally-moves-out-of-the-us-though-risk-from-flooded-rivers-remains/article_265a68bc-dd2d-5ef6-b886-125f5edb4449.html|2024-08-10T07:23:12Z
Yes|Heavy rain caused the flood event|Unknown|Greater Montreal area, Highway 13 South (Chomedey), Highway 40 East (Félix-Leclerc), Exit 62 (de la Côte-Vertu Boulevard), Highway 13 North (Chomedey), A-520 East (Côte-de-Liesse), R-132 East (René-Lévesque) in Longueuil, Taschereau Boulevard West in Longueuil, Highway 15 South (des Laurentides), Papineau Avenue North (A-19), Tunnel de Liesse, Des Moulins Road under the Bonaventure Expressway|Unknown|Unknown|Canada|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|Heavy rains|2024-07|Sinuiju, Uiju|Unknown|Yes|North Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
Yes|Remnants of Tropical Storm Debby|2024-08|Rural New York, Pennsylvania, Steuben County, Jasper, Woodhull, Addison, Canisteo, Andover, Allegany County|Unknown|Yes|United States|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
No|NA|NA|NA|NA|NA|NA|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/|2024-08-09T22:45:08Z
Yes|Heavy rain from the remnants of Debby|Unknown|Rural New York, Pennsylvania, Steuben County, Jasper, Woodhull, Addison, Woodhull, Canisteo, Andover, Tioga County, Potter County, Vermont, Annapolis, Maryland, Moncks Corner, South Carolina, Bulloch County, Georgia|Yes|Yes|United States|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|The flood event was caused by the remnants of Debby, a post-tropical cyclone.|Unknown|Moncks Corner, South Carolina, Annapolis, Maryland, Browns Summit, North Carolina, Lucama, North Carolina, Bladenboro, North Carolina|Yes|Yes|United States|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|Heavy rain|2024-07|Burlington|Unknown|Unknown|Unknown|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
Yes|Heavy rain and overflowing rivers caused by Tropical Storm Debby|2024-08|East Coast, Sullivans Island, SC, New York, Pennsylvania, Cleveland, upstate New York, Steuben County, Tioga County, Annapolis, Alamance County, Moncks Corner, Berkeley County, Southeast Georgia, Effingham County, Chatham County, South Carolina, North Carolina|Yes|Yes|United States|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
