is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
Yes|Heavy rains in late July|2024-07|Sinuiju, Uiju|Unknown|Yes|North Korea|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Heavy rain|Unknown|Greater Montreal area, Highway 13 South, Highway 40 East, Exit 62, de la Côte-Vertu Boulevard, Highway 13 North, A-520 East, Côte-de-Liesse, R-132 East, René-Lévesque, Longueuil, Taschereau Boulevard West, Saint-Charles Street, Highway 15 South, Highway 40, Papineau Avenue North, Henri-Bourassa Boulevard, Gouin Boulevard, Highway 25 South, downtown Montreal, Highway 40 West, Highway 13 North, Laval, Highway 40 East, Des Moulins Road, Bonaventure Expressway|Unknown|Unknown|Canada|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|Heavy rains in late July|2024-07|Sinuiju, Uiju|Unknown|Yes|North Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
Yes|The remnants of Tropical Storm Debby|2024-08|Steuben County, Jasper, Woodhull, Addison, Canisteo, Andover|Unknown|Yes|Unknown|https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
No|NA|NA|NA|NA|NA|NA|https://montreal.citynews.ca/video/2024/08/09/heavy-rain-floods-montreal-homes/|2024-08-09T22:45:08Z
Yes|Heavy rain from the remnants of Hurricane Debby|2022-08|Rural New York, Pennsylvania, Finger Lakes, Jasper, Woodhull, Addison, Canisteo, Andover, Tioga County, Potter County|Unknown|Yes|USA|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|Heavy rains and swollen waterways|2022-07|Lyndon, Vermont, Annapolis, Maryland, Moncks Corner, South Carolina, Haw River, North Carolina, Lucama, North Carolina, Bladenboro, North Carolina|Yes|Yes|United States|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|2024-07|Burlington|||||https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
Yes|Tropical Storm Debby|2024-08|East Coast, Carolinas, New York, Pennsylvania, Vermont|Yes|Yes|United States|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
Yes|A low pressure system interacting with the remnants of tropical storm Debby brought heavy rainfall|2024-08|Cornwall, Ont., through Quebec City, Ottawa, Gatineau, Que., Kanata Lakes, Mississippi Mills, East Hawkesbury, Alexandria, Kinburn, Summerstown|Unknown|Unknown|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|Des pluies records et des restes de l'ouragan Debby|2024-08|La Macaza, Rivière-Rouge, Saint-Calixte, Sainte-Julienne, Montréal (Dorval, centre-ville), Sainte-Anne-de-Bellevue, L'Assomption, Saint-Clotilde, L'Acadie, St-Jovite, Gatineau, Granby, Sherbrooke, Beauceville, Trois-Rivières, Drummondville, Québec|Inconnu|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
NA|NA|NA|NA|NA|NA|Inconnu|https://villesaintraymond.com/actualites/avertissement-sur-les-previsions-de-fortes-pluies|2024-08-10T04:17:27Z
Oui|Pluies torrentielles|2023-08|Montréal, Lanaudière, Les Laurentides, La Rive-Sud, Sainte-Mélanie, Lanaudière, Sherbrooke, Berthierville|Inconnu|Inconnu|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Cause des inondations: Pluies abondantes|Inconnu|Les Hautes-Laurentides, Kiamika, Nominingue, Rivière-Rouge, Notre-Dame-de-Pontmain, La Macaza|Inconnu|Oui|Canada|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
