is_happened|flood_cause_en|date|location|death|evacuation|country|link|published_date
No|NA|NA|NA|NA|NA|NA|https://www.thestar.com/news/world/asia/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary/article_bb2d32a4-d826-506e-acc6-18e1ccea2423.html|2024-08-10T07:31:37Z
Yes|Heavy rain|2023-10|['Greater Montreal area', 'Longueuil']|No|No|Canada|https://montreal.ctvnews.ca/live-updates-as-heavy-rain-causes-flooding-across-montreal-1.6994706|2024-08-10T05:23:43Z
Yes|Heavy rains in late July|Unknown|['Sinuiju', 'Uiju']|Unknown|Yes|North Korea|https://toronto.citynews.ca/2024/08/10/north-korean-leader-says-thousands-of-flood-victims-will-be-brought-to-capital-for-temporary-care/|2024-08-10T04:18:56Z
No|||||||https://www.thestar.com/news/world/united-states/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania/article_28c5d507-d456-50dd-8d40-86e36fcdf980.html|2024-08-09T23:14:15Z
Yes|Heavy rain from the remnants of Debby|2023-08|New York, Pennsylvania, Vermont, South Carolina, Georgia, Maryland|Yes|Yes|United States|https://www.lakelandtoday.ca/environment-news/flooding-from-the-remnants-of-debby-leads-to-high-water-rescues-in-new-york-pennsylvania-9329473|2024-08-09T22:11:26Z
Yes|Heavy rains and flash flooding|2022-08|['Virginia', 'Washington, D.C.', 'Delaware', 'Maryland', 'Pennsylvania', 'New Jersey', 'New York', 'Vermont', 'South Carolina', 'North Carolina']|Yes|Yes|United States|https://www.lakelandtoday.ca/world-news/debby-bringing-heavy-rain-flooding-and-possible-tornadoes-northeast-into-the-weekend-9329872|2024-08-09T21:58:08Z
Yes|Heavy rain and resulting floods|2024-07|Burlington|Unknown|Unknown|Unknown|https://halton.insauga.com/curled-up-in-balls-overwhelmed-burlington-residents-tell-city-staff-the-current-standard-for-flood-relief-isnt-enough/|2024-08-09T21:25:13Z
No|NA|NA|NA|NA|NA|NA|https://www.thestar.com/news/world/united-states/the-latest-a-downgraded-debby-still-threatens-the-east-coast-with-heavy-rain-and-flooding/article_bf8b4716-7ee4-5db4-b8b6-110a63a5645f.html|2024-08-09T21:21:54Z
Yes|Interaction of a low pressure system with the remnants of tropical storm Debby brought heavy rainfall|2024-08|Eastern Ontario, Quebec, Ottawa, Gatineau, Kanata Lakes, Cornwall, Mississippi Mills, East Hawkesbury, Alexandria, Kinburn, Summerstown|Unknown|Unknown|Canada|https://ottawa.ctvnews.ca/remnants-of-debby-move-across-ottawa-eastern-ontario-prompting-flood-risks-1.6994559|2024-08-09T20:58:45Z
Oui|Précipitations extrêmes|2024-08|Montréal, La Macaza, Rivière-Rouge, Saint-Calixte, Sainte-Julienne, autoroute 40|Inconnu|Oui|Canada|https://www.journaldemontreal.com/2024/08/09/inhabituelle-et-plutot-rare-plusieurs-records-de-pluie-bientot-battus-dans-le-grand-montreal|2024-08-10T04:25:58Z
Oui|Pluies torrentielles|2022-08|Montréal, Lanaudière, Laurentides, Montérégie|Inconnu|Inconnu|Canada|https://www.lequotidien.com/actualites/2024/08/09/les-vestiges-de-emdebbyem-apportent-des-quantites-significatives-de-pluie-au-quebec-73EY32LHOBFC5ECVPSI4M5EGUM/|2024-08-10T04:00:11Z
Oui|Précipitations abondantes|2019-08|Kiamika, Nominingue, Rivière-Rouge, Notre-Dame-de-Pontmain, La Macaza, L'Ascension, Notre-Dame-du-Laus|Inconnu|Oui|Canada|https://infodelalievre.ca/actualites/2024/08/09/les-hautes-laurentides-durement-touchees/|2024-08-10T03:12:25Z
Oui|Pluies abondantes|Inconnu|Coteau-du-Lac, Les Coteaux, Salaberry-de-Valleyfield, Beauharnois, Sainte-Catherine, Saint-Constant, Candiac, Delson|Inconnu|Inconnu|Inconnu|https://www.cybersoleil.com/rive-sud-les-fortes-pluies-causent-de-nombreuses-inondations-actu/|2024-08-10T00:28:24Z
Oui|Pluie diluvienne|Inconnu|Montréal, Québec|Inconnu|Inconnu|Canada|https://www.journaldequebec.com/2024/08/09/intemperies--des-records-de-pluie-battus-a-montreal-mais-pas-a-quebec|2024-08-09T23:41:07Z
Oui|Précipitations abondantes|2024-08|Nominingue, Lac-Saguay, Rivière-Rouge|Inconnu|Oui|Canada|https://www.tvanouvelles.ca/2024/08/09/en-images--des-chemins-dans-les-laurentides-affaisses-par-la-pluie|2024-08-09T23:27:15Z
Oui|Pluie|Inconnu|Sud du Québec|Inconnu|Inconnu|Canada|https://www.journaldemontreal.com/2024/08/09/vestiges-de-la-tempete-debby-plus-de-48-000-foyers-plonges-dans-le-noir|2024-08-09T23:25:16Z
Oui|Pluies torrentielles|2023-08|Trois-Rivières, Mauricie, La Tuque, Bécancour|Inconnu|Inconnu|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/100-mm-de-pluie-attendus-en-mauricie-les-evenements-exterieurs-a-leau-QMG7E5BUOVF4LFZ7DHEQCOFQ6I/|2024-08-09T22:29:51Z
Oui|Précipitations abondantes|2024-08|Trois-Rivières, Shawinigan, Saint-Étienne-des-Grès, Saint-Jean-des-Piles, Saint-Gérard-des-Laurentides|Inconnu|Oui|Canada|https://www.lenouvelliste.ca/actualites/actualites-locales/2024/08/09/tempete-debby-la-situation-semble-etre-sous-controle-WTFZTN6E3ZBU3GM6PV63YNDFLY/|2024-08-09T22:04:21Z
Oui|Pluies torrentielles|2022-07|Grand Montréal, Montréal, Laurentides, Montérégie, Boucherville, Saint-Bruno-de-Montarville, Saint-Hubert, Vieux-Longueuil, Longueuil, Saint-Laurent, Sainte-Anne-de-Bellevue, L'Assomption, Nominingue|Oui|Oui|Canada|https://www.lapresse.ca/actualites/2024-08-09/pluies-abondantes-au-quebec-et-en-ontario/les-vestiges-de-debby-causent-une-accumulation-d-eau-sur-plusieurs-routes.php|2024-08-09T21:29:10Z
